text,label
Application form for grant of LTC advance,Title
1.,Body
Name of the Government Servant,Body
2.,Body
Designation,Body
3.,Body
Date of entering the Central Government,Body
Service,Body
4.,Body
PAY + SI + NPA,Body
5.,Body
Whether permanent or temporary,Body
6.,Body
Home Town as recorded in the Service Book,Body
7.,Body
Whether wife / husband is employed and if,Body
so whether entitled to LTC,Body
8.,Body
Whether the concession is to be availed for,Body
visiting home town and if so block for which,Body
LTC is to be availed.,Body
9.,Body
(a) If the concession is to visit anywhere in,Body
"India, the place to be visited.",Body
(b) Block for which to be availed.,Body
10.,Body
Single,Body
rail,Body
fare/bus,Body
fare,Body
from,Body
the,Body
headquarters to home town/place of visit by,Body
shortest route.,Body
11.,Body
Persons in respect of whom LTC is proposed to be availed.,Body
S.No,Body
Name,Body
Age,Body
Relationship,Body
1.,Body
2.,Body
3.,Body
4.,Body
5.,Body
6.,Body
12. Amount of advance required.,Body
Rs.,Body
I declare that the particulars furnished above are true and correct to the best of my knowledge.  I,Body
undertake to produce the tickets for the outward journey within ten days of receipt of the advance.,Body
In the event of cancellation of the journey or if I fail to produce the tickets within ten days of receipt of,Body
"advance, I undertake to refund the entire advance in one lump sum.",Body
Date,Body
Signature of Government Servant.,Body
Overview,Body
Foundation Level Extensions,Body
Version 1.0,Body
International Software Testing Qualifications Board,Body
Copyright Notice,Body
"This document may be copied in its entirety, or extracts made, if the source is acknowledged.",Body
International,Body
Overview,Body
Software Testing,Body
Foundation Level Extension – Agile Tester,Body
Qualifications,Body
Board,Body
Copyright © International Software Testing Qualifications Board (hereinafter called ISTQB®).,Body
Version 2014,Body
Page 2 of 12,Body
"May 31, 2014",Body
© International Software Testing Qualifications Board,Body
Qualifications Board,Body
International,Body
Overview,Body
Software Testing,Body
Foundation Level Extension – Agile Tester,Body
Revision History,H1
Version,Body
Date,Body
Remarks,Body
0.1,Body
18 JUNE 2013,Body
Initial version,Body
0.2,Body
23 JULY 2013,Body
WG reviewed and confirmed,Body
0.3,Body
6 NOV 2013,Body
amended population and diagram,Body
0.7,Body
11 DEC 2013,Body
Amended Business Outcomes and Chapters matching,Body
0.8,Body
20 DEC 2013,Body
Working group updates on 0.7,Body
1.0,Body
31 MAY 2014,Body
GA release for Agile Extension,Body
Version 2014,Body
Page 3 of 12,Body
"May 31, 2014",Body
© International Software Testing Qualifications Board,Body
..........................................................................................................................................,Body
........................................................................................................................................,Body
............................................................................,Body
...............................................................,Body
.....................................................................................................................,Body
............................................................................................................,Body
...................................................................................................................,Body
...................................................................................................................,Body
...................................................................................................,Body
......................................................................................................................,Body
.........................................,Body
.................................................................................................................,Body
....................................................................................................................................,Body
..........................................................................................................................................,Body
.............................................................................................................................,Body
.......................................................................................................,Body
International,Body
Overview,Body
Software Testing,Body
Foundation Level Extension – Agile Tester,Body
Qualifications,Body
Board,Body
Table of Contents,H1
Revision History,Body
3,Body
Table of Contents,H1
4,Body
1.,Body
Introduction to the Foundation Level Extensions,Body
6,Body
2.,Body
Introduction to Foundation Level Agile Tester Extension,Body
7,Body
2.1,Body
Intended Audience,Body
7,Body
2.2,Body
Career Paths for Testers,Body
7,Body
2.3,Body
Learning Objectives,Body
7,Body
2.4,Body
Entry Requirements,Body
8,Body
2.5,Body
Structure and Course Duration,Body
8,Body
2.6,Body
Keeping It Current,Body
9,Body
3.,Body
Overview of the Foundation Level Extension – Agile Tester Syllabus,Body
10,Body
3.1,Body
Business Outcomes,Body
10,Body
3.2,Body
Content,Body
10,Body
4.,Body
References,Body
12,Body
4.1,Body
Trademarks,Body
12,Body
4.2,Body
Documents and Web Sites,Body
12,Body
Version 2014,Body
Page 4 of 12,Body
"May 31, 2014",Body
© International Software Testing Qualifications Board,Body
International,Body
Overview,Body
Software Testing,Body
Foundation Level Extension – Agile Tester,Body
Qualifications,Body
Board,Body
Acknowledgements,H1
This document was produced by a team from the International Software Testing Qualifications Board,Body
Foundation Level Working Group.,Body
The Agile Extension team thanks the review team and the National Boards for their suggestions and input.,Body
"At the time the Foundation Level Agile Extension Syllabus was completed, the Agile Extension Working",Body
"Group had the following membership: Rex Black (Chair), Bertrand Cornanguer (Vice Chair), Gerry",Body
"Coleman (Learning Objectives Lead), Debra Friedenberg (Exam Lead), Alon Linetzki (Business Outcomes",Body
"and Marketing Lead), Tauhida Parveen (Editor), and Leo van der Aalst (Development Lead).",Body
"Authors: Rex Black, Anders Claesson, Gerry Coleman, Bertrand Cornanguer, Istvan Forgacs, Alon",Body
"Linetzki, Tilo Linz, Leo van der Aalst, Marie Walsh, and Stephan Weber.",Body
"Internal Reviewers: Mette Bruhn-Pedersen, Christopher Clements, Alessandro Collino, Debra",Body
"Friedenberg, Kari Kakkonen, Beata Karpinska, Sammy Kolluru, Jennifer Leger, Thomas Mueller, Tuula",Body
"Pääkkönen, Meile Posthuma, Gabor Puhalla, Lloyd Roden, Marko Rytkönen, Monika Stoecklein-Olsen,",Body
"Robert Treffny, Chris Van Bael, and Erik van Veenendaal.",Body
"The team thanks also the following persons, from the National Boards and the Agile expert community,",Body
"who participated in reviewing, commenting, and balloting of the Foundation Agile Extension Syllabus: Dani",Body
"Almog, Richard Berns, Stephen Bird, Monika Bögge, Afeng Chai, Josephine Crawford, Tibor Csöndes,",Body
"Huba Demeter, Arnaud Foucal, Cyril Fumery, Kobi Halperin, Inga Hansen, Hanne Hinz, Jidong Hu, Phill",Body
"Isles, Shirley Itah, Martin Klonk, Kjell Lauren, Igal Levi, Rik Marselis, Johan Meivert, Armin Metzger, Peter",Body
"Morgan, Ninna Morin, Ingvar Nordstrom, Chris O’Dea, Klaus Olsen, Ismo Paukamainen, Nathalie Phung,",Body
"Helmut Pichler, Salvatore Reale, Stuart Reid, Hans Rombouts, Petri Säilynoja, Soile Sainio, Lars-Erik",Body
